,isindb-Title,isindb-ISIN,isindb-Country,isindb-Description,isindb-Type
0,3M,US88579Y1010,United States,"Equity, ISIN US88579Y1010, WKN 851745, MMM",Equity
0,,US00089Y1091,US,COM,
0,,US00202F1021,US,ADR,
0,,FR0010050773,FR,ORDINARY SHARE EUR 1,
0,,SG1S12926576,SG,ORDINARY SHARE,
0,,KYG2953R1149,KY,SHS NEW,
0,AAG ENERGY HOLDINGS LIMITED,KYG000371040,Cayman Islands,,
0,,US0003602069,,COM PAR $0.004,
0,,GB00B9GQVG73,Greece,ORD GBP0.01,Par Value
0,,AU000000ABP9,Australia,Real Estate Investment Trusts (Reits),
0,PANERA BREAD CO. A,US69840W1080,United States,"Equity, ISIN US69840W1080, WKN 882047, ABP",Equity
0,ABAKAN INC.,US00258J1079,UNITED STATES OF AMERICA,SHS ABAKAN INC ORD REG,EQUITY
0,,CA00258G1037,CANADA,SHS ABATTIS BIOCEUTICALS CORP ORD REG,EQUITY
0,ABAXIS INC.,US0025671050,United States,"Equity, ISIN US0025671050, WKN 883404, AXS",Equity
0,"ABB LTD ADR SF 2,50",US0003752047,United States,"Equity, ISIN US0003752047, WKN 675089, ABJA",Equity
0,ABB Ltd.,CH0012221716,Switzerland,"Equity, ISIN CH0012221716, WKN 919730, ABJ",Equity
0,AB BIOTICS SA,ES0109659013,SPAIN,SHS AB BIOTICS SA ORD BR,EQUITY
0,Abbott Laboratories,US0028241000,United States,"Equity, ISIN US0028241000, WKN 850103, ABL",Equity
0,Cobracrest AG & Co. KGaA,DE000A0AHTE5,Germany,"Equity, ISIN DE000A0AHTE5, WKN A0AHTE, ABT",Equity
0,AQUA BIO TECHNOLOGY NK-20,NO0010307135,Norway,"Equity, ISIN NO0010307135, WKN A0NBAT, 3FZ",Equity
0,,US00287Y1091,,COM,
0,,JP3152740001,Japan,COM STK,
0,ABCOURT MNS CLASS B,CA00288E3005,Canada,"Equity, ISIN CA00288E3005, WKN 862198, AML",Equity
0,ABERCROMBIE + FITCH A,US0028962076,United States,"Equity, ISIN US0028962076, WKN 903016, AFT",Equity
0,,GB00B0P6J834,Jersey,ORD NPV,NPV
0,BANCA IFIS,IT0003188064,ITALY,SHS BANCA IFIS SPA,EQUITY
0,,US00305P1066,UNITED STATES OF AMERICA,SHS ABERDEEN INDONESIA FUND INC.,EQUITY
0,ABERDEEN INTL INC.,CA0030691012,Canada,"Equity, ISIN CA0030691012, WKN A0HG70, A8H",Equity
0,,US00301L1098,UNITED STATES OF AMERICA,SHS ABERDEEN FIRST ISRAEL FUND INC,EQUITY
0,,GB0003920757,Greece,ORD GBP0.10,Par Value
0,Abbott Laboratories,US0028241000,United States,"Equity, ISIN US0028241000, WKN 850103, ABL",Equity
0,"ABIOMED INC. DL-,01",US0036541003,United States,"Equity, ISIN US0036541003, WKN 873886, AIO",Equity
0,,CA0036841074,Canada,ABITIBI ROYALTIES INC COMMON SHARES,
0,,US0037091024,United States,COM,
0,,US0037253061,United States,ADR,
0,"GOLDLION HLDGS LTD HD-,10",HK0533002009,Hong Kong,"Equity, ISIN HK0533002009, WKN 884898, GLH",Equity
0,,SG0533000253,Singapore,ORDINARY SHARE,
0,,IL0011016669,ISRAEL,SHS BABYLON LTD. ORD REG,EQUITY
0,,GG00BCCW5806,Guam,ORD NPV GBP(POST REDEMPTION),NPV
0,,SG2C12961455,Singapore,ORDINARY SHARE,
0,,US00389M1027,US,COM,
0,,US00389L1044,US,COM,
0,ACACIA RESEARCH CORP.,US0038813079,United States,"Equity, ISIN US0038813079, WKN 164631, AZG2",Equity
0,,AU000000AKG9,AU,ORDINARY FULLY PAID,
0,,US0341641035,,COM,
0,,US00404A1097,US,COM,
0,"ACADIA PHARMACEUT. DL-,01",US0042251084,United States,"Equity, ISIN US0042251084, WKN 603035, DR6",Equity
0,,US0042391096,United States,Real Estate Investment Trusts (Reits),
0,AUST ETHICAL INVEST,AU000000AEF4,,,
0,,US00301W1053,UNITED STATES OF AMERICA,SHS ABERDEEN CHILE FUND INC.,EQUITY
0,"AEFFE S.P.A. EO -,25",IT0001384590,Italy,"Equity, ISIN IT0001384590, WKN A0MW4X, 3A1",Equity
0,ACCELERON PHARMA INC.,US00434H1086,UNITED STATES OF AMERICA,SHS ACCELERON PHARMA ORD REG,EQUITY
0,ACCELL GROUP NV,NL0009767532,NETHERLANDS,SHS ACCELL GROUP NV ORD BR,EQUITY
0,ANIXTER INTL. DL 1,US0352901054,United States,"Equity, ISIN US0352901054, WKN 868255, AX1",Equity
0,,US00430L1035,,COM,
0,ACCENTURE PLC A DL-000025,IE00B4BNMY34,Ireland,"Equity, ISIN IE00B4BNMY34, WKN A0YAQA, CSA",Equity
0,ACCESS COMPANY LTD,JP3108060009,JAPAN,SHS ACCESS CO,EQUITY
0,ACCESS POWER INC,US00431N1081,UNITED STATES OF AMERICA,SHS ACCESS POWER INC.,EQUITY
0,,GB0001771426,Great Britain - GB,ORD GBP0.01,
0,ACCIONA SA INH. EO 1,ES0125220311,Spain,"Equity, ISIN ES0125220311, WKN 865629, AJ3",Equity
0,"ACCO BRANDS DL-,01",US00081T1088,United States,"Equity, ISIN US00081T1088, WKN A0F7D1, A3B",Equity
0,ACCOR SA INH. EO 3,FR0000120404,France,"Equity, ISIN FR0000120404, WKN 860206, ACR",Equity
0,"ACCURAY INC. DL -,001",US0043971052,United States,"Equity, ISIN US0043971052, WKN A0MKWM, XEJ",Equity
0,,US00444T1007,,COM,
0,,LU0584671464,,Confidential Issue,
0,ACCORD FINANCIAL CORP,CA00435L1085,CANADA,SHS ACCORD FINANCIAL ORD REG,EQUITY
0,,GB00B0MSB420,Guam,ORD NPV,Funds/OEIC
0,ACER INC. GDR REG. S/5,US0044342055,United States,"Equity, ISIN US0044342055, WKN 552863, AC5G",Equity
0,,SG1Q66923448,SINGAPORE,SHS LINAIR TECH.LTD,EQUITY
0,,JP3108000005,UNKNOWN,SHS ACHILLES CORP.,EQUITY
0,ACI GLOBAL CORPORATION,US0008751044,UNITED STATES OF AMERICA,SHS ACI GLOBAL CORP.,EQUITY
0,"ACI WORLDWIDE INC. DL-,01",US0044981019,United States,"Equity, ISIN US0044981019, WKN A0MXU1, TSA",Equity
0,ACKERMANS + VAN HAAREN,BE0003764785,Belgium,"Equity, ISIN BE0003764785, WKN 869057, B3K",Equity
0,ACMOS INCORPORATION,JP3108100003,JAPAN,SHS ACMOS INC,EQUITY
0,,KYG3728H1002,KY,HKD SHS,
0,,US0008681092,,COM,
0,ACOM CO. LTD,JP3108600002,Japan,"Equity, ISIN JP3108600002, WKN 887795, AK5",Equity
0,"ACERINOX SA NOM. EO -,25",ES0132105018,Spain,"Equity, ISIN ES0132105018, WKN A0B7GP, ACE1",Equity
0,bet-at-home.com AG,DE000A0DNAY5,Germany,"Equity, ISIN DE000A0DNAY5, WKN A0DNAY, ACX",Equity
0,ACMA ENGINE & CONST,AU000000ACX1,,,
0,"ACORN ENERGY INC. DL -,01",US0048481073,United States,"Equity, ISIN US0048481073, WKN A0LBDV, DS1",Equity
0,ACTINOGEN LTD,AU000000ACW3,Australia,"Equity, ISIN AU000000ACW3, WKN A0MZH8, 3AC",Equity
0,,US00439T2069,,COM NEW,
0,,IT0001207098,,ACEA/AOR - ORDINARY SHARES,
0,,GB00B00LL325,Greece,ORD GBP0.05,Par Value
0,"AEGON NV EO 0,12 NY REG.",US0079241032,United States,"Equity, ISIN US0079241032, WKN 873131, AENF",Equity
0,,AU000000AEG2,,Confidential Issue,
0,,JP3047490002,Japan,Real Estate Investment Trusts (Reits),
0,ACTIVISION BLIZZARD INC.,US00507V1098,United States,"Equity, ISIN US00507V1098, WKN A0Q4K4, AIY",Equity
0,"ACUITY BRANDS INC. DL-,01",US00508Y1029,United States,"Equity, ISIN US00508Y1029, WKN 813307, AQ8",Equity
0,,AU000000AYI6,AUSTRALIA,SHS A1 INVESTMENTS RESOURCES LTD ORD REG,EQUITY
0,,US9815741064,US,COM,
0,ACUSPHERE INC,US00511R8549,UNITED STATES OF AMERICA,SHS ACUSPHERE INC ORD REG,EQUITY
0,,US00515Q1004,US,COM,
0,SANONDA,CNE0000004V0,China,HUBEI SANONDA CO LTD,
0,ADOLFO DOMINGUEZ S.A.,ES0106000013,SPAIN,SHS ADOLFO DOMINGUEZ SA (ORD),EQUITY
0,,CA00547Y1051,CA,ADAMERA MINERALS CORP COMMON SHARES,
0,,AU000000ADA7,AU,ORDINARY FULLY PAID,
0,,IM00B986V543,Iceland,ORD EUR0.01,Par Value
0,,US00448Q2012,,COM,
0,,INE423A01024,India,Defined India Index,
0,,INE742F01042,IN,EQ NEW RS. 2/-,
0,,INE814H01011,IN,EQ,
0,,US00652F1075,US,ADR,
0,,JP3856000009,JP,COM STK,
0,,US00650W3007,US,COM NEW,
0,CHINASCHOLARS,CNE000000DM5,China,CHINASCHOLARS GROUP CO LTD,
0,"ADDUS HOMECARE CP.DL-,001",US0067391062,United States,"Equity, ISIN US0067391062, WKN A0YBKM, A41",Equity
0,"ADDVALUE TECHNOL. SD-,025",SG1I67883666,Singapore,"Equity, ISIN SG1I67883666, WKN 502261, DDU",Equity
0,ADECCO SA NAM. SF 1,CH0012138605,Switzerland,"Equity, ISIN CH0012138605, WKN 922031, ADI1",Equity
0,ADEKA CORPORATION,JP3114800000,JAPAN,SHS ADEKA CORP.,EQUITY
0,,US0068551003,UNITED STATES OF AMERICA,SHS ADEPTUS HEALTH INC ORD REG,EQUITY
0,,US00770C1018,,COM,
0,ADEX MINING INC.,CA0069032070,Canada,"Equity, ISIN CA0069032070, WKN A0MXC1, 3A4",Equity
0,,DE000A1TNV91,DE,INHABER-AKTIEN O.N.,
0,adidas AG,DE000A1EWWW0,Germany,"Equity, ISIN DE000A1EWWW0, WKN A1EWWW, ADS",Equity
0,,US00687A1079,Germany,ADR,
0,,INE865C01022,,,
0,,AU000000ADD1,AU,ORDINARY FULLY PAID,
0,,US0008991046,UNITED STATES OF AMERICA,SHS ADMA BIOLOGICS INC ORD REG,EQUITY
0,Adobe Systems Inc.,US00724F1012,United States,"Equity, ISIN US00724F1012, WKN 871981, ADB",Equity
0,AEROP.DE PARIS INH. EO 3,FR0010340141,France,"Equity, ISIN FR0010340141, WKN A0J2WM, W7L",Equity
0,,INE737B01033,IN,EQ NEW FV RS. 10/-,
0,"ADSTAR, INC.",US00737P1049,UNITED STATES OF AMERICA,SHS ADSTAR INC,EQUITY
0,,JP3122010006,JAPAN,SHS ADTEC PLASMA TECHNOLOGY CO.LTD,EQUITY
0,,CH0008967926,SWITZERLAND,SHS ADVAL TECH HOLD.-REG. (DISP.FORM),EQUITY
0,"ADVANCE AUTO PA. DL-,0001",US00751Y1064,United States,"Equity, ISIN US00751Y1064, WKN 982516, AWN",Equity
0,AUSTRALIAN AGRICULTURAL COMPANY LIMITED,AU000000AAP1,AUSTRALIA,SHS AUSTRALIAN AGRICUL ORD REG,EQUITY
0,"Advanced Micro Devices Inc. Shares DL -,01",US0079031078,United States,"Equity, ISIN US0079031078, WKN 863186, AMD",Equity
0,ACUITY INV MANAGEMT,AU000000AMD2,,,
0,ADVANEX INC.,JP3213400009,Japan,"Equity, ISIN JP3213400009, WKN 869190, DCV",Equity
0,,INE199C01026,,,
0,ALUMINUM CORP.OF CHINA H,CNE1000001T8,China,"Equity, ISIN CNE1000001T8, WKN A0M4WU, AOC",Equity
0,ADVANTEST CORP.,JP3122400009,Japan,"Equity, ISIN JP3122400009, WKN 868805, VAN",Equity
0,ADVEO GROUP INTERNATIONAL S.A.(FORMELY KNOWN AS UN,ES0182045312,SPAIN,SHS ADVEO GROUP INT. ORD BR,EQUITY
0,,AU000000ADH2,,Confidential Issue,
0,ADVTECH LIMITED,ZAE000031035,SOUTH AFRICA,SHS ADVTECH LIMITED ORD REG,EQUITY
0,ADWAYS CO. LTD,JP3121970002,JAPAN,SHS ADWAYS CO.LTD,EQUITY
0,ADX ENERGY,AU000000ADX9,Australia,"Equity, ISIN AU000000ADX9, WKN 875366, GHU",Equity
0,AAEC,CNE000000RM5,China,"AVIC AERO-ENGINE CONTROLS CO.,LTD SHARES A",
0,"AECOM TECH.C.(DEL.)DL-,01",US00766T1007,United States,"Equity, ISIN US00766T1007, WKN A0MMEV, E6Z",Equity
0,,BE0003851681,BE,ACT,
0,,AU000000AED9,AU,ORDINARY FULLY PAID,
0,,US00770F1049,US,COM,
0,,US00770K2024,US,COM NEW,
0,,US00765G1094,US,COM,
0,,CNE000001G46,CN,REGISTERED\SHARES A\CNY1.00,
0,,JP3131400008,JP,COM STK,
0,,JP3131430005,Japan,Real Estate Management & Development,
0,AERCAP HOLDINGS EO 1,NL0000687663,Netherlands,"Equity, ISIN NL0000687663, WKN A0LFB3, R1D",Equity
0,,GB00B42V2T10,Greece,ORD GBP0.05,Par Value
0,,GB0006039597,Great Britain - GB,ORD GBP 0.25,
0,AERIS ENVIRONMENTAL LIMITED,AU000000AEI8,AUSTRALIA,SHS AERIS ENVIR.LTD ORD REG,EQUITY
0,AERO PERFORMANCE PRODUCTS INC,US00768W1018,UNITED STATES OF AMERICA,SHS AERO PERF.PROD. ORD REG,EQUITY
0,AEROFLOT RL 1,RU0009062285,Russian Federation,"Equity, ISIN RU0009062285, AET",Equity
0,N.A.,CNE000000BS6,China,"AEROSPACE COMMUNICATIONS HOLDINGS CO.,LTD.",
0,AHTHGC,CNE000000Y86,China,AEROSPACE HI_TECH HOLDING GROUP CO LTD,
0,N.A.,CNE000001857,China,AEROSUN CORPORATION,
0,AEROVIRONMENT INC,US0080731088,UNITED STATES OF AMERICA,SHS AEROVIRONMENT INC.,EQUITY
0,AES Corp.,US00130H1059,United States,"Equity, ISIN US00130H1059, WKN 882177, AES",Equity
0,"THE SEVENTY-SEVEN BANK, LTD.",JP3352000008,JAPAN,SHS SEVENTY-SEVEN (77) BANK LTD,EQUITY
0,"STERLING ENERGY LS-,40",GB00B4X3Q493,United Kingdom,"Equity, ISIN GB00B4X3Q493, WKN A0YF88, TB8A",Equity
0,"AETNA INC. DL-,01",US00817Y1082,United States,"Equity, ISIN US00817Y1082, WKN 602155, HE8",Equity
0,L C DEVL,SG1C01001033,,,
0,RUUKKI GROUP OYJ A,FI0009800098,Finland,"Equity, ISIN FI0009800098, WKN 918629, V5W",Equity
0,,IL0005780130,IL,SHARE,
0,"ACS,ACT.CO.SER.INH.EO-,50",ES0167050915,Spain,"Equity, ISIN ES0167050915, WKN A0CBA2, OCI1",Equity
0,ACCENT RES N.L.,AU000000ACS1,Australia,"Equity, ISIN AU000000ACS1, WKN A0ETE6, A2R",Equity
0,ALGAE. TEC LTD,AU000000AEB3,AUSTRALIA,SHS ALGAE. TEC LTD ORD REG,EQUITY
0,"AFFINITY GOLD CRP.DL-,001",US00829M1009,United States,"Equity, ISIN US00829M1009, WKN A0RNKY, 79F",Equity
0,,US00829L1026,US,COM,
0,,US0082721061,US,COM,
0,"AFFYMAX INC. DL -,01",US00826A1097,United States,"Equity, ISIN US00826A1097, WKN A0LCV5, A5Y",Equity
0,AFI DEV.PLC GDR REGS CY 1,US00106J2006,United States,"Equity, ISIN US00106J2006, WKN A0MQ07, SQY1",Equity
0,"AFLAC INC. DL -,10",US0010551028,United States,"Equity, ISIN US0010551028, WKN 853081, AFL",Equity
0,,IL0010979487,IL,SHARE,
0,AFRICA OIL CORP.,CA00829Q1019,Canada,"Equity, ISIN CA00829Q1019, WKN A0MZJC, AFZ",Equity
0,,US00830V1070,US,COM,
0,"AFREN PLC LS-,01",GB00B0672758,United Kingdom,"Equity, ISIN GB00B0672758, WKN A0D9AZ, A2J",Equity
0,,US02376R1023,US,COM,
0,"AFRICAN MINERALS BE -,01",BMG0114P1005,Bermuda,"Equity, ISIN BMG0114P1005, WKN A0M25T, OUV",Equity
0,APOLLO COM.REAL EST.FIN.,US03762U1051,United States,"Equity, ISIN US03762U1051, WKN A0YA4B, 9A1",Equity
0,ARRIUM LIMITED (FORMERLY ONESTEEL LIMITED),AU000000ARI0,AUSTRALIA,SHS ARRIUM LIMITED ORD REG,EQUITY
0,"RAINBOW MINERALS RC-,05",ZAE000054045,South Africa,"Equity, ISIN ZAE000054045, WKN A0CAQD, EB9",Equity
0,,CA0011811068,CA,AG GROWTH INTERNATIONAL INC COMMON,
0,,INE204E01012,IN,AGARWAL INDUSTRIAL CORPORATION LTD EQ,
0,ASAHI GLASS,JP3112000009,Japan,"Equity, ISIN JP3112000009, WKN 853783, SHJ",Equity
0,"AGCO CORP. DL-,01",US0010841023,United States,"Equity, ISIN US0010841023, WKN 888282, AGJ",Equity
0,"AUDIOCODES LTD. IS 0,01",IL0010829658,Icelandrael,"Equity, ISIN IL0010829658, WKN 922683, AU1",Equity
0,AGENT155 MEDIA CORP,US00845C1027,UNITED STATES OF AMERICA,SHS AGENT155 MEDIA ORD REG,EQUITY
0,,US00847G7051,,COM NEW,
0,AGF MGMT B PFD NV,CA0010921058,Canada,"Equity, ISIN CA0010921058, WKN 861655, A3J",Equity
0,,GB00BK1PTB77,GB,ORD GBP0.048329113924,
0,"AGILE PROP. HLDGS HD-,10",KYG011981035,Cayman Islands,"Equity, ISIN KYG011981035, WKN A0ES62, A8P",Equity
0,"AGILENT TECHS INC. DL-,01",US00846U1016,United States,"Equity, ISIN US00846U1016, WKN 929138, AG8",Equity
0,AGILYSYS INC.,US00847J1051,United States,"Equity, ISIN US00847J1051, WKN 913094, PS3",Equity
0,AGIOS PHARMACEUTICALS INC.,US00847X1046,UNITED STATES OF AMERICA,SHS AGIOS PHARMACEU. ORD REG,EQUITY
0,Agnico-Eagle Mines Ltd.,CA0084741085,Canada,"Equity, ISIN CA0084741085, WKN 860325, AE9",Equity
0,TOKAI KANKO COMPANY LIMITED,JP3561200001,JAPAN,SHS TOKAI KANKO CO.LTD,EQUITY
0,AGRICULT.BNK OF CN H YC 1,CNE100000Q43,China,"Equity, ISIN CNE100000Q43, WKN A1C024, EK7",Equity
0,"AGCO CORP. DL-,01",US0010841023,United States,"Equity, ISIN US0010841023, WKN 888282, AGJ",Equity
0,ANTARIA LTD.,AU000000ANO7,Australia,"Equity, ISIN AU000000ANO7, WKN A0DP2L, BBJ",Equity
0,AGRIMINCO CORP (FORMERLY ETHIOPIAN POTASH CORP),CA00855X1033,CANADA,SHS AGRIMINCO CORP ORD REG,EQUITY
0,AGRIUM INC.,CA0089161081,Canada,"Equity, ISIN CA0089161081, WKN 886256, AGU",Equity
0,AGRO-KANESHO CO LTD,JP3108200001,JAPAN,SHS AGRO-KANESHO CO ORD REG,EQUITY
0,"APTARGRP INC. DL-,01",US0383361039,United States,"Equity, ISIN US0383361039, WKN 886413, AGT",Equity
0,,CY0101062111,,,
0,YAOKO,JP3930200005,,,
0,"AGTECH HLDGS LTD HD-,002",BMG0135Z1032,Bermuda,"Equity, ISIN BMG0135Z1032, WKN A0MP75, 3AH",Equity
0,AGUIA RESOURCES LTD,AU000000AGR4,AUSTRALIA,SHS AGUIA RESOURCES ORD REG,EQUITY
0,AUSTRAL GAS LIGHT,AU000000AGL7,,,
0,"AUTOGRILL S.P.A. EO 0,52",IT0001137345,Italy,"Equity, ISIN IT0001137345, WKN 908497, AUL",Equity
0,Anglo American plc,GB00B1XZS820,United Kingdom,"Equity, ISIN GB00B1XZS820, WKN A0MUKL, NGLB",Equity
0,,CY0101452114,,,
0,HESS CORP. DL 1,US42809H1077,United States,"Equity, ISIN US42809H1077, WKN A0JMQL, AHC",Equity
0,,JP3100600000,JP,COM STK,
0,,JP3105090009,JP,COM STK,
0,,INE212H01026,IN,EQ NEW RE.2/-,
0,AIA GROUP LTD HD 1,HK0000069689,Hong Kong,"Equity, ISIN HK0000069689, WKN A1C7F3, 7A2",Equity
0,,JP3103600007,JP,COM STK,
0,AIFUL CORP.,JP3105040004,Japan,"Equity, ISIN JP3105040004, WKN 908364, AAU",Equity
0,,JP3101000002,JP,COM STK,
0,AIN PHARMACIEZ INC.,JP3105250009,JAPAN,SHS AIN PHARMACIEZ INC,EQUITY
0,,JP3105050003,JAPAN,SHS AIPHONE CO,EQUITY
0,ACCOR SA INH. EO 3,FR0000120404,France,"Equity, ISIN FR0000120404, WKN 860206, ACR",Equity
0,,MX01AC100006,Mexico,Beverages,
0,,US00910M1009,CHINA,ADR AIR CHINA LTD SPONSORED(1ADR/20SHS),EQUITY
0,AIR PROD. CHEM. DL 1,US0091581068,United States,"Equity, ISIN US0091581068, WKN 854912, AP3",Equity
0,,AU000000APD5,AUSTRALIA,SHS APN PROPERTY GRP LTD,EQUITY
0,AIRBORNE SECURITY AND PROTECTION SERVICES INC,US00927Q1022,UNITED STATES OF AMERICA,SHS AIRBORNE SECURITY ORD REG,EQUITY
0,,CA00927V2003,CANADA,SHS AIRBOSS OF AMERICA CORP.,EQUITY
0,,PLBOS0000019,,,
0,AAR CORP. DL 1,US0003611052,United States,"Equity, ISIN US0003611052, WKN 862821, ARZ",Equity
0,EADS N.V.,NL0000235190,Netherlands,"Equity, ISIN NL0000235190, WKN 938914, EAD",Equity
0,,AU000000ARG4,AUSTRALIA,SHS ARGO INVESTMENTS LTD,EQUITY
0,AMERIGO RESOURCES CORP,CA03074G1090,CANADA,SHS AMERIGO RESOURCES LTD.,EQUITY
0,,FR0010481960,France,EUTR,
0,ARGOS RESOURCES LTD,FK0114538241,FALKLANDISLANDS (MALVINAS),SHS ARGOS RESOURCES ORD REG,EQUITY
0,"AIRGAS INC. DL-,01",US0093631028,United States,"Equity, ISIN US0093631028, WKN 872942, AAS",Equity
0,,JP3266050008,JAPAN,SHS AIRPORT FACILITIES CO.LTD,EQUITY
0,"AIRSPAN NETW.NEW DL-,0003",US00950H3003,United States,"Equity, ISIN US00950H3003, WKN A1C353, RNXD",Equity
0,,JP3688100001,UNKNOWN,SHS AIRTECH JAPAN LTD,EQUITY
0,,JP3101600009,JAPAN,SHS AISAN IND.CO.LTD ORD BR,EQUITY
0,"AISAN TECHNOLOGY CO., LTD.",JP3101800005,JAPAN,SHS AISAN TECHNOLOGY CO.LTD,EQUITY
0,AISIN SEIKI CO. LTD,JP3102000001,Japan,"Equity, ISIN JP3102000001, WKN 863680, AKN",Equity
0,N.A.,CNE000001FB1,China,AISINOCO.LTD,
0,AISYSTEMS INC,US0014361044,UNITED STATES OF AMERICA,SHS AISYSTEMS INC ORD REG,EQUITY
0,AIT CORP,JP3160050005,JAPAN,SHS AIT CORP ORD REG,EQUITY
0,AIXTRON SE,DE000A0WMPJ6,Germany,"Equity, ISIN DE000A0WMPJ6, WKN A0WMPJ, AIXA",Equity
0,,JP3101850000,JAPAN,SHS AIZAWA SECURITIES CO LTD,EQUITY
0,,AU000000AJL1,AU,ORDINARY FULLY PAID,
0,AJINOMOTO,JP3119600009,Japan,"Equity, ISIN JP3119600009, WKN 853681, AJI",Equity
0,,HK0000051851,HONG KONG,SHS ISHARES ASIA TRUST-ISH.MSCI EM.AS.IND.ETF,EQUITY
0,,INE298G01027,IN,AJMERA REALTY & INFRA INDIA LIMITED EQ NEW,
0,,JP3934500004,JP,COM STK,
0,"AK STEEL HLDG DL-,01",US0015471081,United States,"Equity, ISIN US0015471081, WKN 890363, AK2",Equity
0,"AKAMAI TECH. DL-,01",US00971T1016,United States,"Equity, ISIN US00971T1016, WKN 928906, AK3",Equity
0,,JP3108400007,JP,COM STK,
0,AKER ASA A NK 28,NO0010234552,Norway,"Equity, ISIN NO0010234552, WKN A0B8L8, FKM",Equity
0,PPR S.A. INH. EO 4,FR0000121485,France,"Equity, ISIN FR0000121485, WKN 851223, PPX",Equity
0,CHINA KINGSTONE MINING HOLDINGS LTD,BMG2119K1100,Bermuda,,
0,,JP3107600003,JAPAN,SHS AKITA BK,EQUITY
0,AKITA DRILLING LTD,CA0099051009,CANADA,SHS AKITA DRILLING LTD ORD BR,EQUITY
0,AKORN INC.,US0097281069,United States,"Equity, ISIN US0097281069, WKN 888920, FDA",Equity
0,,INE523B01011,,Confidential Issue,
0,,US01023E1001,US,COM,
0,,US40051E2028,,,
0,"A.S. ROMA S.P.A EO-,15",IT0001008876,Italy,"Equity, ISIN IT0001008876, WKN 938439, RO9",Equity
0,,CA0106791084,CA,ALACER GOLD CORP COMMON,
0,AINSWORTH GAME TECHNOLOGY LIMITED,AU000000AGI3,AUSTRALIA,SHS AINSWORTH GAME TECH.LTD,EQUITY
0,agiplan TechnoSoft AG,DE0005870356,Germany,"Equity, ISIN DE0005870356, WKN 587035, AGI",Equity
0,ALANCO TECHS A 2010,US0116127020,United States,"Equity, ISIN US0116127020, WKN A1C4F3, ALNB",Equity
0,ALASKA AIR GRP INC. DL 1,US0116591092,United States,"Equity, ISIN US0116591092, WKN 869843, ALK",Equity
0,ALKANE RESOURCES LTD.,AU000000ALK9,Australia,"Equity, ISIN AU000000ALK9, WKN 863617, AK7",Equity
0,ALASKA GOLD CORP (FORMERLY SONO RESOURCES INC),US0117061087,UNITED STATES OF AMERICA,SHS ALASKA GOLD CORP ORD REG,EQUITY
0,,GB00B06KBB18,Greece,ORD GBP0.001,Par Value
0,"ALBANY INTL A DL-,001",US0123481089,United States,"Equity, ISIN US0123481089, WKN 874315, AII",Equity
0,,IT0003926661,,AIO N RENEWABLE/AOR SVN - ORDINARY SHARES,
0,Air Liquide S.A.,FR0000120073,France,"Equity, ISIN FR0000120073, WKN 850133, AIR",Equity
0,,PLABSIN00012,Poland,AIN,
0,ALBEMARLE CORP.,US0126531013,United States,"Equity, ISIN US0126531013, WKN 890167, AMC",Equity
0,CORP. FIN. ALBA INH. EO 1,ES0117160111,Spain,"Equity, ISIN ES0117160111, WKN 860823, CSV",Equity
0,,GB0004832472,Greece,ORD GBP0.01,Par Value
0,,GB0005581672,Greece,ORD GBP0.01,Par Value
0,,LU0292109187,,db x-trackers MSCI TAIWAN TRN INDEX ETF,
0,Honeywell International Inc.,US4385161066,United States,"Equity, ISIN US4385161066, WKN 870153, ALD",Equity
0,ALDERON IRON ORE CORP,CA01434T1003,CANADA,SHS ALDERON IRON ORE ORD REG,EQUITY
0,ALDRIDGE MINERALS INC.,CA0144301029,Canada,"Equity, ISIN CA0144301029, WKN A0CAPB, AIW",Equity
0,ALE PROPERTY GROUP,AU000000LEP0,AUSTRALIA,SHS ALE PROPERTY GROUP,EQUITY
0,ALIOR BANK SA,PLALIOR00045,POLAND,SHS ALIOR BANK ORD BR,EQUITY
0,ALROSA ZAO,RU0007252813,RUSSIA,SHS ALROSA ZAO ORD REG,EQUITY
0,,US0144911049,,COM,
0,ALEXANDRIA MINERALS CORP.,CA0151001009,Canada,"Equity, ISIN CA0151001009, WKN A0JD07, A9D",Equity
0,,US0152711091,United States,Real Estate Investment Trusts (Reits),
0,AECON GRP,CA00762V1094,Canada,"Equity, ISIN CA00762V1094, WKN 869161, 2AE",Equity
0,ARGONAUT RESOURCES NL,AU000000ARE9,AUSTRALIA,SHS ARGONAUT RESOURCES NL,EQUITY
0,,PLCRBON00018,Poland,BPI,
0,ALEXCO RESOURCE,CA01535P1062,Canada,"Equity, ISIN CA01535P1062, WKN A0JKUP, J6W",Equity
0,"ALEXION PHARMAC. DL-,0001",US0153511094,United States,"Equity, ISIN US0153511094, WKN 899527, AXP",Equity
0,,US0153842093,,COM NEW,
0,ALFRESA HOLDINGS CORPORATION,JP3126340003,JAPAN,SHS ALFRESA HOLDING CORP.,EQUITY
0,ALGONQUIN POWER AND UTILITIES CORP,CA0158571053,CANADA,SHS ALGONQUIN POWER UT ORD REG,EQUITY
0,ALHAMBRA RESOURCES LTD.,CA0159021090,Canada,"Equity, ISIN CA0159021090, WKN 575629, A4Y",Equity
0,A.N.Z. BKG GRP,AU000000ANZ3,Australia,"Equity, ISIN AU000000ANZ3, WKN 864144, ANB",Equity
